index,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,label
7024,5,5,5,0,-8,-20,-13,8,0.476562,-0.618652,0.647949,0.5,-0.1875,-1.3125,68,62,3,Q
58636,5,5,5,0,-8,-20,-13,8,0.476562,-0.618652,0.647949,0.5,-0.1875,-1.3125,68,62,3,Q
40965,5,6,-39,15,7,-10,-15,-12,0.697266,-0.542969,0.478516,6.9375,-3.75,-3.625,64,47,149,B
41220,5,6,-39,15,7,-10,-15,-12,0.697266,-0.542969,0.478516,6.9375,-3.75,-3.625,64,47,149,B
34436,5,6,13,1,11,25,37,6,0.824219,-0.177734,0.522461,4.4375,-8.1875,1.875,78,32,90,B
34487,5,6,13,1,11,25,37,6,0.824219,-0.177734,0.522461,4.4375,-8.1875,1.875,78,32,90,B
50690,5,8,10,5,3,5,4,23,0.849609,-0.426758,0.319824,-7.5,-0.9375,-0.375,63,31,176,L
50741,5,8,10,5,3,5,4,23,0.849609,-0.426758,0.319824,-7.5,-0.9375,-0.375,63,31,176,L
35989,5,12,5,2,-3,8,8,-4,0.730469,-0.282227,0.612793,0.875,-0.875,-0.25,77,41,116,H
36040,5,12,5,2,-3,8,8,-4,0.730469,-0.282227,0.612793,0.875,-0.875,-0.25,77,41,116,H
51014,5,13,13,-5,-11,-5,-10,0,0.831543,-0.375488,0.375,4.125,-10.9375,4.125,67,32,15,N
51218,5,13,13,-5,-11,-5,-10,0,0.831543,-0.375488,0.375,4.125,-10.9375,4.125,67,32,15,N
7117,5,60,19,18,-3,-17,-8,-11,0.473145,-0.631348,0.65625,-0.1875,-0.3125,1.4375,68,62,4,Q
58729,5,60,19,18,-3,-17,-8,-11,0.473145,-0.631348,0.65625,-0.1875,-0.3125,1.4375,68,62,4,Q
30145,6,-19,-13,-9,-31,-33,-11,42,0.751465,-0.305664,0.54834,3.375,-9.375,12.5,71,40,96,L
30196,6,-19,-13,-9,-31,-33,-11,42,0.751465,-0.305664,0.54834,3.375,-9.375,12.5,71,40,96,L
7179,6,-17,-45,13,3,16,10,13,0.480469,-0.624023,0.657715,0.5625,1.0625,-1.3125,68,62,4,Q
58791,6,-17,-45,13,3,16,10,13,0.480469,-0.624023,0.657715,0.5625,1.0625,-1.3125,68,62,4,Q
7102,6,-13,3,-16,-6,-5,-6,-21,0.483398,-0.625977,0.651367,-0.1875,-0.9375,0.5,68,62,4,Q
58714,6,-13,3,-16,-6,-5,-6,-21,0.483398,-0.625977,0.651367,-0.1875,-0.9375,0.5,68,62,4,Q
7125,6,-8,-4,-19,-1,6,-6,-27,0.469238,-0.617676,0.654297,-1.3125,2.0,-0.5,68,62,4,Q
58737,6,-8,-4,-19,-1,6,-6,-27,0.469238,-0.617676,0.654297,-1.3125,2.0,-0.5,68,62,4,Q
50659,6,-7,20,3,1,3,-6,4,0.82373,-0.437012,0.346191,-2.875,-5.5,1.375,63,31,176,L
50710,6,-7,20,3,1,3,-6,4,0.82373,-0.437012,0.346191,-2.875,-5.5,1.375,63,31,176,L
34475,6,-5,-15,0,0,4,1,1,0.81543,-0.199219,0.520996,0.125,-2.4375,0.0,79,32,90,B
34526,6,-5,-15,0,0,4,1,1,0.81543,-0.199219,0.520996,0.125,-2.4375,0.0,79,32,90,B
37451,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37452,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37453,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37454,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37455,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37456,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37457,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37458,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37459,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37460,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37461,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37462,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37463,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37464,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37465,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37466,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37467,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37468,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37469,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37470,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37471,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37472,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37473,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37474,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37475,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37476,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37477,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37478,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
37479,6,-4,1,1,4,-5,-29,-9,0.721191,-0.520996,0.474609,-1.5,-1.6875,-6.125,65,41,122,N
